
410000	100000	1	province	河南省	410000	河南省	河南省			113.665412	34.757975
410300	410000	2	city	洛阳市	410000,410300	河南省,洛阳市	河南省	洛阳市		112.434468	34.663041
410324	410300	3	district	栾川县	410000,410300,410324	河南省,洛阳市,栾川县	河南省	洛阳市	栾川县	111.618386	33.783195
410323	410300	3	district	新安县	410000,410300,410323	河南省,洛阳市,新安县	河南省	洛阳市	新安县	112.141403	34.728679
410306	410300	3	district	吉利区	410000,410300,410306	河南省,洛阳市,吉利区	河南省	洛阳市	吉利区	112.584796	34.899093
410329	410300	3	district	伊川县	410000,410300,410329	河南省,洛阳市,伊川县	河南省	洛阳市	伊川县	112.429384	34.423416
410328	410300	3	district	洛宁县	410000,410300,410328	河南省,洛阳市,洛宁县	河南省	洛阳市	洛宁县	111.655399	34.387179
410381	410300	3	district	偃师市	410000,410300,410381	河南省,洛阳市,偃师市	河南省	洛阳市	偃师市	112.787739	34.723042
410304	410300	3	district	瀍河回族区	410000,410300,410304	河南省,洛阳市,瀍河回族区	河南省	洛阳市	瀍河回族区	112.491625	34.684738
410303	410300	3	district	西工区	410000,410300,410303	河南省,洛阳市,西工区	河南省	洛阳市	西工区	112.443232	34.667847
410302	410300	3	district	老城区	410000,410300,410302	河南省,洛阳市,老城区	河南省	洛阳市	老城区	112.477298	34.682945
410322	410300	3	district	孟津县	410000,410300,410322	河南省,洛阳市,孟津县	河南省	洛阳市	孟津县	112.443892	34.826485
410311	410300	3	district	洛龙区	410000,410300,410311	河南省,洛阳市,洛龙区	河南省	洛阳市	洛龙区	112.456634	34.618557
410326	410300	3	district	汝阳县	410000,410300,410326	河南省,洛阳市,汝阳县	河南省	洛阳市	汝阳县	112.473789	34.15323
410327	410300	3	district	宜阳县	410000,410300,410327	河南省,洛阳市,宜阳县	河南省	洛阳市	宜阳县	112.179989	34.516478
410305	410300	3	district	涧西区	410000,410300,410305	河南省,洛阳市,涧西区	河南省	洛阳市	涧西区	112.399243	34.654251
410325	410300	3	district	嵩县	410000,410300,410325	河南省,洛阳市,嵩县	河南省	洛阳市	嵩县	112.087765	34.131563
411200	410000	2	city	三门峡市	410000,411200	河南省,三门峡市	河南省	三门峡市		111.194099	34.777338
411221	411200	3	district	渑池县	410000,411200,411221	河南省,三门峡市,渑池县	河南省	三门峡市	渑池县	111.762992	34.763487
411202	411200	3	district	湖滨区	410000,411200,411202	河南省,三门峡市,湖滨区	河南省	三门峡市	湖滨区	111.19487	34.77812
411224	411200	3	district	卢氏县	410000,411200,411224	河南省,三门峡市,卢氏县	河南省	三门峡市	卢氏县	111.052649	34.053995
411282	411200	3	district	灵宝市	410000,411200,411282	河南省,三门峡市,灵宝市	河南省	三门峡市	灵宝市	110.88577	34.521264
411203	411200	3	district	陕州区	410000,411200,411203	河南省,三门峡市,陕州区	河南省	三门峡市	陕州区	111.103851	34.720244
411281	411200	3	district	义马市	410000,411200,411281	河南省,三门峡市,义马市	河南省	三门峡市	义马市	111.869417	34.746868
411100	410000	2	city	漯河市	410000,411100	河南省,漯河市	河南省	漯河市		114.026405	33.575855
411104	411100	3	district	召陵区	410000,411100,411104	河南省,漯河市,召陵区	河南省	漯河市	召陵区	114.051686	33.567555
411122	411100	3	district	临颍县	410000,411100,411122	河南省,漯河市,临颍县	河南省	漯河市	临颍县	113.938891	33.80609
411102	411100	3	district	源汇区	410000,411100,411102	河南省,漯河市,源汇区	河南省	漯河市	源汇区	114.017948	33.565441
411121	411100	3	district	舞阳县	410000,411100,411121	河南省,漯河市,舞阳县	河南省	漯河市	舞阳县	113.610565	33.436278
411103	411100	3	district	郾城区	410000,411100,411103	河南省,漯河市,郾城区	河南省	漯河市	郾城区	114.016813	33.588897
411000	410000	2	city	许昌市	410000,411000	河南省,许昌市	河南省	许昌市		113.826063	34.022956
411003	411000	3	district	建安区	410000,411000,411003	河南省,许昌市,建安区	河南省	许昌市	建安区	113.842898	34.005018
411002	411000	3	district	魏都区	410000,411000,411002	河南省,许昌市,魏都区	河南省	许昌市	魏都区	113.828307	34.02711
411024	411000	3	district	鄢陵县	410000,411000,411024	河南省,许昌市,鄢陵县	河南省	许昌市	鄢陵县	114.188507	34.100502
411025	411000	3	district	襄城县	410000,411000,411025	河南省,许昌市,襄城县	河南省	许昌市	襄城县	113.493166	33.855943
411081	411000	3	district	禹州市	410000,411000,411081	河南省,许昌市,禹州市	河南省	许昌市	禹州市	113.471316	34.154403
411082	411000	3	district	长葛市	410000,411000,411082	河南省,许昌市,长葛市	河南省	许昌市	长葛市	113.768912	34.219257
411300	410000	2	city	南阳市	410000,411300	河南省,南阳市	河南省	南阳市		112.540918	32.999082
411303	411300	3	district	卧龙区	410000,411300,411303	河南省,南阳市,卧龙区	河南省	南阳市	卧龙区	112.528789	32.989877
411323	411300	3	district	西峡县	410000,411300,411323	河南省,南阳市,西峡县	河南省	南阳市	西峡县	111.485772	33.302981
411330	411300	3	district	桐柏县	410000,411300,411330	河南省,南阳市,桐柏县	河南省	南阳市	桐柏县	113.406059	32.367153
411321	411300	3	district	南召县	410000,411300,411321	河南省,南阳市,南召县	河南省	南阳市	南召县	112.435583	33.488617
411328	411300	3	district	唐河县	410000,411300,411328	河南省,南阳市,唐河县	河南省	南阳市	唐河县	112.838492	32.687892
411327	411300	3	district	社旗县	410000,411300,411327	河南省,南阳市,社旗县	河南省	南阳市	社旗县	112.938279	33.056126
411322	411300	3	district	方城县	410000,411300,411322	河南省,南阳市,方城县	河南省	南阳市	方城县	113.010933	33.255138
411324	411300	3	district	镇平县	410000,411300,411324	河南省,南阳市,镇平县	河南省	南阳市	镇平县	112.232722	33.036651
411326	411300	3	district	淅川县	410000,411300,411326	河南省,南阳市,淅川县	河南省	南阳市	淅川县	111.489026	33.136106
411325	411300	3	district	内乡县	410000,411300,411325	河南省,南阳市,内乡县	河南省	南阳市	内乡县	111.843801	33.046358
411381	411300	3	district	邓州市	410000,411300,411381	河南省,南阳市,邓州市	河南省	南阳市	邓州市	112.092716	32.681642
411329	411300	3	district	新野县	410000,411300,411329	河南省,南阳市,新野县	河南省	南阳市	新野县	112.365624	32.524006
411302	411300	3	district	宛城区	410000,411300,411302	河南省,南阳市,宛城区	河南省	南阳市	宛城区	112.544591	32.994857
411500	410000	2	city	信阳市	410000,411500	河南省,信阳市	河南省	信阳市		114.075031	32.123274
411521	411500	3	district	罗山县	410000,411500,411521	河南省,信阳市,罗山县	河南省	信阳市	罗山县	114.533414	32.203206
411523	411500	3	district	新县	410000,411500,411523	河南省,信阳市,新县	河南省	信阳市	新县	114.87705	31.63515
411527	411500	3	district	淮滨县	410000,411500,411527	河南省,信阳市,淮滨县	河南省	信阳市	淮滨县	115.415451	32.452639
411502	411500	3	district	浉河区	410000,411500,411502	河南省,信阳市,浉河区	河南省	信阳市	浉河区	114.075031	32.123274
411525	411500	3	district	固始县	410000,411500,411525	河南省,信阳市,固始县	河南省	信阳市	固始县	115.667328	32.183074
411524	411500	3	district	商城县	410000,411500,411524	河南省,信阳市,商城县	河南省	信阳市	商城县	115.406297	31.799982
411503	411500	3	district	平桥区	410000,411500,411503	河南省,信阳市,平桥区	河南省	信阳市	平桥区	114.126027	32.098395
411528	411500	3	district	息县	410000,411500,411528	河南省,信阳市,息县	河南省	信阳市	息县	114.740713	32.344744
411526	411500	3	district	潢川县	410000,411500,411526	河南省,信阳市,潢川县	河南省	信阳市	潢川县	115.050123	32.134024
